t # 0
v 1432 70
v 1433 60
v 1434 60
v 1435 60
v 1436 60
v 1437 6
v 1438 6
v 1439 6
v 1440 6
v 1441 6
v 1442 13
v 1443 6
v 1444 6
v 1445 6
v 1446 12
v 1447 6
v 1448 6
v 1449 24
v 1450 6
v 1451 6
v 1452 44
v 1453 35
v 1454 6
v 1455 6
v 1456 6
v 1457 35
v 1458 60
v 1459 12
v 1460 59
v 1461 58
v 1462 14
v 1463 60
v 1464 60
v 1465 60
v 1466 6
v 1467 6
v 1468 6
v 1469 59
v 1470 58
v 1471 35
v 1472 12
v 1473 36
v 1474 12
v 1475 46
v 1476 60
v 1477 60
v 1478 60
v 1479 36
v 1480 6
v 1481 6
v 1482 6
v 1483 60
v 1484 6
v 1485 6
v 1486 60
v 1487 60
v 1488 3
v 1489 60
v 1490 60
v 1491 46
v 1492 60
v 1493 60
v 1494 60
v 1495 36
v 1496 6
v 1497 51
v 1498 12
v 1499 49
v 1500 6
v 1501 6
v 1502 36
v 1503 60
v 1504 14
v 1505 60
v 1506 60
v 1507 60
v 1508 60
v 1509 60
v 1510 60
v 1511 6
v 1512 6
v 1513 14
v 1514 60
v 1515 60
v 1516 60
v 1517 70
v 1518 60
v 1519 60
v 1520 14
v 1521 6
v 1522 6
v 1523 14
v 1524 60
v 1525 6
v 1526 6
v 1527 2
v 1528 12
v 1529 6
v 1530 6
v 1531 6
v 1532 67
v 1533 45
v 1534 12
v 1535 22
v 1536 6
v 1537 73
v 1538 6
v 1539 6
v 1540 6
v 1541 6
v 1542 6
v 1543 22
v 1544 6
v 1545 6
v 1546 45
v 1547 49
v 1548 6
v 1549 14
v 1550 6
v 1551 6
v 1552 6
v 1553 6
v 1554 6
v 1555 6
v 1556 6
v 1557 6
v 1558 49
v 1559 6
v 1560 60
v 1561 6
v 1562 6
v 1563 6
v 1564 51
v 1565 73
v 1566 6
v 1567 6
v 1568 6
v 1569 6
v 1570 6
v 1571 6
v 1572 6
v 1573 42
v 1574 6
v 1575 6
v 1576 6
v 1577 6
v 1578 49
v 1579 6
v 1580 6
v 1581 60
v 1582 6
v 1583 79
v 1584 75
v 1585 79
v 1586 24
v 1587 79
v 1588 79
v 1589 6
v 1590 6
v 1591 6
v 1592 6
v 1593 6
v 1594 6
v 1595 6
v 1596 12
v 1597 67
v 1598 6
v 1599 70
v 1600 6
v 1601 6
v 1602 6
v 1603 56
v 1604 6
v 1605 81
v 1606 6
v 1607 6
v 1608 12
v 1609 36
v 1610 60
v 1611 53
v 1612 60
v 1613 60
v 1614 60
v 1615 60
v 1616 60
v 1617 60
v 1618 60
v 1619 60
v 1620 44
v 1621 44
v 1622 44
v 1623 6
v 1624 6
v 1625 45
v 1626 6
v 1627 6
v 1628 6
v 1629 6
v 1630 35
v 1631 35
v 1632 35
v 1633 35
v 1634 6
v 1635 6
v 1636 6
v 1637 13
v 1638 6
v 1639 6
v 1640 67
v 1641 42
v 1642 6
v 1643 6
v 1644 6
v 1645 6
v 1646 12
v 1647 6
v 1648 6
v 1649 6
v 1650 22
v 1651 6
v 1652 6
v 1653 6
v 1654 6
v 1655 6
v 1656 6
v 1657 6
v 1658 6
v 1659 6
v 1660 6
v 1661 6
v 1662 60
v 1663 6
v 1664 6
v 1665 36
v 1666 60
v 1667 12
v 1668 6
v 1669 6
v 1670 60
v 1671 14
v 1672 46
v 1673 60
v 1674 14
v 1675 60
v 1676 60
v 1677 60
v 1678 70
v 1679 45
v 1680 6
v 1681 70
v 1682 3
v 1683 3
v 1684 6
v 1685 51
v 1686 3
v 1687 3
v 1688 6
v 1689 6
v 1690 6
v 1691 6
v 1692 13
v 1693 51
v 1694 6
v 1695 12
v 1696 6
v 1697 6
v 1698 55
v 1699 22
v 1700 6
v 1701 6
v 1702 6
v 1703 51
v 1704 6
v 1705 6
v 1706 45
v 1707 55
v 1708 42
v 1709 6
v 1710 55
v 1711 6
v 1712 6
v 1713 36
v 1714 36
v 1715 60
v 1716 60
v 1717 60
v 1718 60
v 1719 35
v 1720 60
v 1721 60
v 1722 60
v 1723 60
v 1724 60
v 1725 46
v 1726 60
v 1727 60
v 1728 60
v 1729 60
v 1730 46
v 1731 49
v 1732 6
v 1733 14
v 1734 60
v 1735 6
v 1736 6
v 1737 60
v 1738 60
v 1739 45
v 1740 6
v 1741 14
v 1742 13
v 1743 14
v 1744 6
v 1745 6
v 1746 6
v 1747 13
v 1748 6
v 1749 51
v 1750 51
v 1751 22
v 1752 6
v 1753 70
v 1754 6
v 1755 14
v 1756 12
v 1757 6
v 1758 6
v 1759 6
v 1760 36
v 1761 14
v 1762 51
v 1763 46
v 1764 60
v 1765 60
v 1766 36
v 1767 60
v 1768 51
v 1769 46
v 1770 60
v 1771 6
v 1772 36
v 1773 35
v 1774 6
v 1775 6
v 1776 6
v 1777 6
v 1778 6
v 1779 6
v 1780 78
v 1781 6
v 1782 6
v 1783 36
v 1784 12
v 1785 45
v 1786 6
v 1787 6
v 1788 6
v 1789 70
v 1790 67
v 1791 7
v 1792 20
v 1793 38
v 1794 53
v 1795 2
v 1796 20
v 1797 38
v 1798 48
v 1799 6
v 1800 6
v 1801 6
v 1802 6
v 1803 6
v 1804 6
v 1805 6
v 1806 6
v 1807 6
v 1808 51
v 1809 6
v 1810 6
v 1811 51
v 1812 6
v 1813 51
v 1814 51
v 1815 12
v 1816 6
v 1817 22
v 1818 6
v 1819 6
v 1820 6
v 1821 60
v 1822 60
v 1823 12
v 1824 60
v 1825 60
v 1826 60
v 1827 60
v 1828 6
v 1829 14
v 1830 14
v 1831 14
v 1832 12
v 1833 6
v 1834 6
v 1835 6
v 1836 12
v 1837 6
v 1838 6
v 1839 6
v 1840 45
v 1841 24
v 1842 12
v 1843 6
v 1844 45
v 1845 6
v 1846 6
