t # 0
v 3706 60
v 1806 46
v 408641 70
v 108082 6
v 86613 9
v 1447 53
v 1110 2
v 1445 7
v 1444 53
v 1443 48
v 68510 6
v 1441 38
v 1440 7
v 226541 6
v 4589 60
v 136170 22
v 1449 48
v 1448 38
v 408642 70
v 249369 6
v 22343 6
v 224491 6
v 307028 6
v 199921 6
v 154805 6
v 4587 60
v 1804 60
v 291543 6
v 4586 14
v 4853 13
v 4852 13
v 4725 60
v 4724 60
v 79229 6
v 4727 60
v 92395 58
v 4721 60
v 2304 60
v 312651 12
v 4723 60
v 4789 14
v 4788 60
v 327703 28
v 327702 27
v 4785 60
v 4784 14
v 4783 60
v 4782 60
v 4781 60
v 327704 28
v 5821 45
v 5820 6
v 11261 6
v 269298 12
v 256868 3
v 256865 3
v 256867 3
v 256866 3
v 256861 3
v 256863 73
v 256862 3
v 163654 6
v 372179 6
v 230542 51
v 292256 6
v 230541 44
v 235066 70
v 230547 67
v 235064 67
v 235065 70
v 408647 51
v 230548 51
v 235069 67
v 359535 6
v 340060 6
v 358916 6
v 10450 6
v 82348 6
v 95868 6
v 61290 6
v 82342 6
v 82611 6
v 270348 3
v 199 35
v 198 35
v 195 35
v 270341 3
v 197 35
v 196 35
v 270344 3
v 270345 3
v 193 35
v 270347 3
v 80610 6
v 182785 6
v 13787 6
v 304646 6
v 366012 6
v 175017 45
v 11986 6
v 293549 3
v 293545 3
v 293544 3
v 293547 3
v 293546 3
v 293540 3
v 293543 3
v 2769 14
v 2768 60
v 9151 6
v 1378 53
v 2763 60
v 2762 60
v 352987 6
v 2760 46
v 2767 60
v 2766 60
v 2765 14
v 3743 36
v 410678 6
v 272284 6
v 348988 6
v 348989 36
v 4622 46
v 141826 6
v 4916 45
v 9738 6
v 167610 22
v 4082 60
v 401883 6
v 401882 6
v 152231 12
v 112092 6
v 2515 60
v 338193 6
v 3452 60
v 3453 60
v 3450 36
v 3451 14
v 850 35
v 3457 14
v 3454 60
v 853 35
v 22974 6
v 3458 60
v 3459 60
v 109 35
v 204013 6
v 274867 6
v 198060 6
v 271124 6
v 8905 6
v 226398 6
v 91948 6
v 329458 6
v 268220 6
v 5222 51
v 5221 13
v 411106 6
v 5227 13
v 411100 14
v 5225 13
v 411102 14
v 326895 6
v 4588 60
v 15814 6
v 4912 6
v 15816 6
v 291856 6
v 415645 6
v 3063 60
v 3062 60
v 3061 60
v 3060 60
v 3067 60
v 3066 60
v 3065 14
v 3064 14
v 18333 6
v 208648 6
v 3068 14
v 18334 42
v 371144 6
v 282849 6
v 83991 49
v 146888 6
v 280574 6
v 238378 6
v 242800 6
v 226973 6
v 110213 12
v 242805 6
v 258060 51
v 395421 6
v 290637 42
v 290635 42
v 290633 42
v 161759 6
v 129628 6
v 65087 22
v 267025 12
v 267027 6
v 83197 6
v 1305 7
v 319241 70
v 319240 67
v 1301 38
v 1302 39
v 319244 73
v 1308 48
v 1309 53
v 268910 67
v 268911 70
v 34497 6
v 268913 70
v 498 35
v 499 35
v 268917 73
v 497 35
v 413779 70
v 263981 6
v 6471 13
v 12406 6
v 12404 6
v 12405 6
v 110731 6
v 7759 6
v 282717 6
v 221278 6
v 305871 74
v 145538 6
v 267796 6
v 266518 6
v 3939 60
v 3938 60
v 3935 14
v 3934 60
v 3937 60
v 266511 70
v 3931 60
v 3930 60
v 3933 60
v 3932 60
v 6718 6
v 6719 6
v 6716 6
v 373165 6
v 334531 6
v 9905 13
v 334535 6
v 206780 6
v 9909 6
v 354581 12
v 354585 6
v 221012 6
v 377841 24
v 224534 6
v 157993 6
v 55529 44
v 178 35
v 346874 6
v 158300 6
v 270801 6
v 176 35
v 4044 60
v 159312 12
v 4046 59
v 4047 58
v 4040 14
v 4041 60
v 4042 60
v 4043 60
v 350076 6
v 350075 6
v 350074 6
v 4048 59
v 4049 58
v 171 35
v 341211 12
v 3665 36
v 75325 12
v 3667 46
v 3666 60
v 3661 60
v 3660 60
v 3663 36
v 391640 6
v 253862 6
v 75328 6
v 3668 60
v 73200 6
v 346915 6
v 2578 60
v 2579 60
v 414340 3
v 2577 60
v 2574 60
v 2575 46
v 2572 60
v 2573 60
v 2570 60
v 2571 36
v 11459 6
v 11454 51
v 11455 12
v 328557 49
v 11451 6
v 319310 6
v 3593 36
v 3592 60
v 3591 14
v 3590 60
v 3597 60
v 3596 60
v 3595 60
v 3594 60
v 3599 60
v 97518 6
v 341643 6
v 4435 14
v 4434 60
v 4437 60
v 4436 60
v 270885 70
v 4430 60
v 4433 60
v 4432 14
v 281090 6
v 17121 6
v 4439 14
v 4438 60
v 199389 6
v 244779 6
v 972 2
v 320582 12
v 339912 6
v 90395 6
v 113068 6
v 270884 67
v 126080 45
v 64819 12
v 122072 22
v 320806 6
v 303600 73
v 349933 6
v 278577 6
v 44716 6
v 44718 6
v 275859 6
v 135476 22
v 321451 6
v 410197 6
v 345797 45
v 274326 49
v 316547 6
v 2824 14
v 335724 6
v 410446 6
v 275303 6
v 95602 6
v 39674 6
v 321188 6
v 142083 6
v 14801 6
v 363304 49
v 14804 6
v 2822 60
v 18527 6
v 37067 6
v 11879 6
v 8929 51
v 302218 73
v 59525 6
v 419127 6
v 419126 6
v 30589 6
v 109914 6
v 419122 6
v 251935 6
v 295340 42
v 375727 6
v 322235 6
v 293295 6
v 49926 6
v 226702 49
v 157066 6
v 335461 6
v 3524 60
v 86585 6
v 1681 79
v 408610 75
v 1685 79
v 364794 24
v 1687 79
v 1689 79
v 333601 6
v 111639 6
v 404585 6
v 341835 6
v 293293 6
v 273405 6
v 157060 6
v 83039 12
v 302216 67
v 154969 6
v 302217 70
v 301399 6
v 322216 6
v 164721 6
v 1460 56
v 164728 6
v 1462 81
v 417259 6
v 68551 6
v 204384 12
v 423187 36
v 4239 60
v 1402 53
v 4237 60
v 4236 60
v 4235 60
v 4234 60
v 4233 60
v 4232 60
v 4231 60
v 4230 60
v 230179 44
v 230178 44
v 230177 44
v 160776 6
v 160772 6
v 79202 45
v 91356 6
v 91355 6
v 106499 6
v 282034 6
v 311 35
v 310 35
v 317 35
v 316 35
v 267580 6
v 11201 6
v 11200 6
v 7284 13
v 11204 6
v 89523 6
v 258507 67
v 287000 42
v 340306 6
v 266987 6
v 303189 6
v 303188 6
v 127226 12
v 303186 6
v 303184 6
v 303183 6
v 129873 22
v 379638 6
v 379639 6
v 379635 6
v 153652 6
v 290929 6
v 102546 6
v 262407 6
v 359516 6
v 314853 6
v 340040 6
v 253301 6
v 2693 60
v 277369 6
v 4930 6
v 2299 36
v 2298 60
v 276940 12
v 304666 6
v 304665 6
v 2293 60
v 2292 14
v 2291 46
v 2290 60
v 2297 14
v 2296 60
v 2295 60
v 2294 60
v 413785 70
v 297441 45
v 292965 6
v 293566 70
v 293565 3
v 293563 3
v 166344 6
v 308757 51
v 293569 3
v 293568 3
v 10917 6
v 10915 6
v 386898 6
v 10816 6
v 7291 13
v 7292 51
v 9130 6
v 325199 12
v 7298 6
v 9139 6
v 38 55
v 121261 22
v 163575 6
v 341790 6
v 293697 6
v 277891 51
v 159106 6
v 159105 6
v 349039 45
v 31 55
v 271323 42
v 389971 6
v 37 55
v 345479 6
v 107786 6
v 4672 36
v 3438 36
v 3439 60
v 3430 60
v 3431 60
v 3432 60
v 875 35
v 3434 60
v 3435 60
v 3436 60
v 3437 60
v 2037 60
v 2036 46
v 2035 60
v 2034 60
v 2745 60
v 2032 60
v 2031 46
